time setpoint speed position
10:33:45 184.00 167.53 -30.00
10:33:45 184.00 169.36 -8.85
10:33:45 184.00 171.65 12.31
10:33:45 188.00 173.18 33.46
10:33:45 188.00 174.20 54.23
10:33:45 188.00 173.83 75.38
10:33:45 192.00 174.64 96.92
10:33:45 192.00 176.24 118.85
10:33:45 192.00 178.37 141.15
10:33:45 196.00 180.85 163.46
10:33:45 196.00 182.52 -174.62
10:33:45 196.00 182.58 -152.69
10:33:45 200.00 182.61 -130.38
10:33:45 200.00 183.70 -107.69
10:33:45 200.00 185.48 -84.62
10:33:45 200.00 187.73 -61.15
10:33:45 200.00 190.30 -38.08
10:33:45 200.00 190.96 -15.38
10:33:45 200.00 190.35 7.31
10:33:45 200.00 189.94 30.00
10:33:45 200.00 189.66 53.08
10:33:45 200.00 190.54 76.54
10:33:45 200.00 192.18 100.00
10:33:45 200.00 193.28 122.69
10:33:45 200.00 191.90 145.77
10:33:46 200.00 192.03 168.85
10:33:46 200.00 192.12 -167.69
10:33:46 200.00 193.24 -144.23
10:33:46 200.00 193.99 -120.77
10:33:46 200.00 194.49 -97.31
10:33:46 200.00 194.83 -74.23
10:33:46 200.00 194.00 -51.15
10:33:46 200.00 193.44 -27.69
10:33:46 200.00 194.12 -4.23
10:33:46 200.00 194.58 19.62
10:33:46 200.00 195.95 43.46
10:33:46 200.00 196.86 66.92
10:33:46 200.00 196.42 90.00
10:33:46 200.00 195.06 113.46
10:33:46 200.00 195.21 136.92
10:33:46 200.00 195.31 160.77
10:33:46 200.00 196.43 -175.00
10:33:46 200.00 198.25 -151.54
10:33:46 200.00 197.34 -128.08
10:33:46 200.00 196.74 -104.62
10:33:46 200.00 196.33 -80.77
10:33:46 200.00 197.12 -56.92
10:33:46 200.00 197.65 -33.08
10:33:46 200.00 198.00 -9.23
10:33:46 200.00 198.24 14.23
10:33:46 200.00 197.34 37.69
10:33:46 200.00 196.74 61.15
10:33:46 200.00 196.33 85.38
10:33:46 200.00 198.18 109.23
10:33:46 200.00 198.36 133.46
10:33:46 200.00 199.53 156.92
10:33:46 200.00 198.21 -179.62
10:33:46 200.00 197.32 -155.77
10:33:46 200.00 197.78 -131.54
10:33:46 200.00 199.15 -107.31
10:33:46 200.00 200.06 -83.08
10:33:46 200.00 200.68 -59.23
10:33:46 200.00 200.03 -35.38
10:33:46 200.00 199.60 -11.54
10:33:46 200.00 199.31 12.69
10:33:46 200.00 200.17 36.92
10:33:46 200.00 200.75 61.15
10:33:46 200.00 201.14 85.38
10:33:46 200.00 201.40 109.23
10:33:46 200.00 200.51 133.08
10:33:46 200.00 199.92 157.31
10:33:46 200.00 200.58 -178.46
10:33:46 200.00 201.02 -154.62
10:33:46 200.00 200.26 -130.38
10:33:46 200.00 200.81 -106.54
10:33:46 200.00 200.12 -82.69
10:33:47 200.00 199.66 -58.85
10:33:47 200.00 199.35 -35.00
10:33:47 200.00 199.14 -10.77
10:33:47 200.00 200.06 13.46
10:33:47 200.00 200.67 37.31
10:33:47 200.00 200.03 60.77
10:33:47 200.00 198.54 84.62
10:33:47 200.00 198.60 108.85
10:33:47 200.00 199.69 133.08
10:33:47 200.00 200.43 157.31
10:33:47 200.00 200.92 -178.46
10:33:47 200.00 201.25 -154.62
10:33:47 200.00 200.42 -130.77
10:33:47 200.00 199.86 -106.54
10:33:47 200.00 200.54 -82.31
10:33:47 200.00 201.00 -58.08
10:33:47 200.00 201.30 -33.85
10:33:47 200.00 201.51 -10.00
10:33:47 200.00 200.59 13.85
10:33:47 200.00 199.97 37.69
10:33:47 200.00 199.56 61.92
10:33:47 200.00 200.34 86.15
10:33:47 200.00 200.86 110.38
10:33:47 200.00 201.21 134.23
10:33:47 200.00 200.39 157.69
10:33:47 200.00 198.78 -178.08
10:33:47 200.00 199.82 -154.23
10:33:47 200.00 199.45 -130.00
10:33:47 200.00 200.27 -105.38
10:33:47 200.00 201.87 -81.54
10:33:47 200.00 200.83 -57.69
10:33:47 200.00 200.13 -33.85
10:33:47 200.00 199.67 -9.62
10:33:47 200.00 200.41 14.23
10:33:47 200.00 199.85 38.46
10:33:47 200.00 200.54 62.31
10:33:47 200.00 199.94 85.77
10:33:47 200.00 198.48 109.62
10:33:47 200.00 198.56 133.85
10:33:47 200.00 199.67 158.08
10:33:47 200.00 200.41 -177.69
10:33:47 200.00 200.91 -153.46
10:33:47 200.00 201.24 -129.62
10:33:47 200.00 200.41 -105.77
10:33:47 200.00 199.85 -81.54
10:33:47 200.00 200.54 -57.31
10:33:47 200.00 200.99 -33.08
10:33:47 200.00 201.30 -8.85
10:33:47 200.00 201.51 15.00
10:33:48 200.00 200.59 38.46
10:33:48 200.00 198.91 62.31
10:33:48 200.00 198.85 86.54
10:33:48 200.00 199.86 110.77
10:33:48 200.00 200.54 135.00
10:33:48 200.00 201.00 159.23
10:33:48 200.00 201.30 -176.92
10:33:48 200.00 200.45 -152.69
10:33:48 200.00 200.94 -128.46
10:33:48 200.00 201.26 -104.23
10:33:48 200.00 201.48 -79.62
10:33:48 200.00 202.68 -55.77
10:33:48 200.00 201.38 -31.92
10:33:48 200.00 200.50 -8.08
10:33:48 200.00 199.91 15.77
10:33:48 200.00 199.52 40.00
10:33:48 200.00 200.31 64.23
